number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_cw_blue,params_cw_green,params_cw_orange,params_cw_red,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_leaf_estimation_method,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_rsm,params_subsample,state
43,0.8503122850624175,2026-05-20 14:30:46.440155,2026-05-20 14:33:24.617328,0 days 00:02:38.177173,,MVS,236,3.242590499321649,2.2518302631888947,4.434887535538493,15.872498517726928,8,Lossguide,4500,0.020073966890985773,4,Newton,0.057711300219934876,193.0,9.0,3.787402902051782e-07,0.6512623149352439,0.49977002125364767,COMPLETE
44,0.7719211759095181,2026-05-20 14:33:24.773034,2026-05-20 14:34:21.160536,0 days 00:00:56.387502,,MVS,164,4.630859716735589,3.597810783924812,7.9368784268867785,18.748341392682878,5,Lossguide,4800,1.974814703387373e-08,5,Newton,0.10036770529269877,41.0,8.0,2.2928539855701793e-06,0.43085548809055024,0.8625473222474931,COMPLETE
45,0.7471375429784716,2026-05-20 14:34:21.349330,2026-05-20 14:36:21.385654,0 days 00:02:00.036324,,MVS,130,2.8718460841622666,4.321380432043936,10.691871903249934,17.152017434346497,10,SymmetricTree,2100,1.9799159538063358e-07,6,Newton,0.007274728380567124,,,3.565629255234839,0.5110797573031718,0.8839366887168698,COMPLETE
46,0.6739734054742109,2026-05-20 14:36:21.551877,2026-05-20 14:36:39.214715,0 days 00:00:17.662838,4.742142166574638,Bayesian,188,8.374697004431436,1.9359521295946505,12.823691579490985,21.82698097275421,7,SymmetricTree,4700,4.744534440490952,10,Newton,0.010472738995529371,,,2.0207556756823937e-08,0.5784094044235305,,COMPLETE
47,0.8157911575798457,2026-05-20 14:36:39.385565,2026-05-20 14:37:20.702079,0 days 00:00:41.316514,,MVS,208,9.421143135872514,2.8802171031224537,13.24582341757879,2.489196449558904,4,Lossguide,2000,9.728474884995386e-06,7,Newton,0.09721089584183053,21.0,88.0,0.0007168390100078087,0.5912515017592419,0.5397756848521803,COMPLETE
48,0.8313264406539629,2026-05-20 14:37:20.871245,2026-05-20 14:38:49.197822,0 days 00:01:28.326577,,MVS,126,0.6698023799674312,0.6894193533636285,4.270508514698739,8.815086770487772,10,SymmetricTree,3300,0.19099425317998925,3,Gradient,0.1788545765324118,,,5.753088296778359e-05,0.8425493809533349,0.572343394992449,COMPLETE
49,0.8239902971840127,2026-05-20 14:38:49.368963,2026-05-20 14:40:43.456213,0 days 00:01:54.087250,,Bernoulli,136,2.5946189861666658,1.2943761440247872,4.229377364048622,13.791835753379697,6,Lossguide,4100,2.145412457268019,2,Newton,0.0072103490608242645,172.0,61.0,3.181179686727532,0.7680468335264246,0.9656390644810754,COMPLETE
50,0.8421964949918236,2026-05-20 14:40:43.627482,2026-05-20 14:41:32.128820,0 days 00:00:48.501338,,Bernoulli,176,6.311075625640817,2.333487430426506,7.278355602998426,22.69986514493269,10,Lossguide,2100,2.1416558885571364,1,Newton,0.2956627565153393,115.0,98.0,1.0111206659121574,0.9119955768507267,0.5935877762305647,COMPLETE
51,0.8039425960166294,2026-05-20 14:41:32.387214,2026-05-20 14:42:11.306551,0 days 00:00:38.919337,2.4717970270479426,Bayesian,88,0.8499107197681127,2.8197678841284586,2.608536652132032,13.287507567518965,4,Depthwise,3500,0.0007040466084908965,9,Newton,0.07058490047304962,,15.0,1.636865598587887e-08,0.9037001221493249,,COMPLETE
52,0.8390529505252831,2026-05-20 14:42:11.472029,2026-05-20 14:42:36.283073,0 days 00:00:24.811044,,MVS,228,8.089281848840946,3.3815930034722874,4.40940660774219,4.0608101191926425,6,SymmetricTree,2500,8.280874344750354e-08,4,Gradient,0.03964765575749858,,,4.119293066373599e-06,0.892319102652202,0.5946331185604761,COMPLETE
